Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2004,Private flats/apartments,Roscommon,Roscommon,80,27,17,213
2004,Private flats/apartments,Sligo,Sligo,81,34,37,458
2004,Private flats/apartments,Waterford,Waterford,75,23,5,67
2004,Private flats/apartments,Westmeath,Westmeath,79,28,45,569
2004,Private flats/apartments,Wexford,Wexford,74,60,58,785
2004,Private flats/apartments,Wicklow,Wicklow,76,37,40,528
2005,Houses,Carlow,Carlow,153,283,189,1234
2005,Houses,Cavan,Cavan,163,946,465,2851
2005,Houses,Clare,Clare,160,687,287,1791
2005,Houses,Cork,Cork,133,2449,1357,10234
2005,Houses,Donegal,Donegal,165,2104,764,4640
2005,Houses,Dublin,Dublin,127,1143,554,4377
2005,Houses,Galway,Galway,169,1831,605,3571
2005,Houses,Kerry,Kerry,159,1450,526,3318
2005,Houses,Kildare,Kildare,150,591,455,3034
2005,Houses,Kilkenny,Kilkenny,144,582,295,2046
2005,Houses,Laois,Laois,136,423,361,2664
2005,Houses,Leitrim,Leitrim,164,665,250,1529
2005,Houses,Limerick,Limerick,149,812,440,2950
2005,Houses,Longford,Longford,140,566,476,3401
2005,Houses,Louth,Louth,147,566,333,2273
2005,Houses,Mayo,Mayo,172,1362,434,2530
2005,Houses,Meath,Meath,154,654,529,3425
2005,Houses,Monaghan,Monaghan,158,601,307,1940
2005,Houses,Offaly,Offaly,143,436,193,1346
2005,Houses,Roscommon,Roscommon,150,1001,450,3005
2005,Houses,Sligo,Sligo,143,615,327,2290
2005,Houses,Waterford,Waterford,176,432,137,780
2005,Houses,Westmeath,Westmeath,152,388,227,1497
2005,Houses,Wexford,Wexford,165,1199,442,2671
2005,Houses,Wicklow,Wicklow,150,682,269,1796
2005,Multi development houses,Carlow,Carlow,132,24,129,975
2005,Multi development houses,Cavan,Cavan,133,143,272,2048
2005,Multi development houses,Clare,Clare,132,67,154,1171
2005,Multi development houses,Cork,Cork,113,276,908,8061
2005,Multi development houses,Donegal,Donegal,134,231,370,2767
2005,Multi development houses,Dublin,Dublin,119,206,409,3440
2005,Multi development houses,Galway,Galway,128,101,235,1841
2005,Multi development houses,Kerry,Kerry,135,197,279,2065
2005,Multi development houses,Kildare,Kildare,131,63,328,2506
2005,Multi development houses,Kilkenny,Kilkenny,112,42,168,1506
2005,Multi development houses,Laois,Laois,120,55,275,2296
2005,Multi development houses,Leitrim,Leitrim,145,76,136,940
2005,Multi development houses,Limerick,Limerick,126,80,279,2218
2005,Multi development houses,Longford,Longford,129,129,383,2964
2005,Multi development houses,Louth,Louth,118,47,207,1754
2005,Multi development houses,Mayo,Mayo,133,117,171,1285
2005,Multi development houses,Meath,Meath,135,61,383,2832
2005,Multi development houses,Monaghan,Monaghan,123,71,174,1410
2005,Multi development houses,Offaly,Offaly,111,29,104,939
2005,Multi development houses,Roscommon,Roscommon,131,165,285,2169
2005,Multi development houses,Sligo,Sligo,122,83,214,1758
2005,Multi development houses,Waterford,Waterford,128,26,48,374
2005,Multi development houses,Westmeath,Westmeath,128,35,147,1144
2005,Multi development houses,Wexford,Wexford,130,94,204,1566
2005,Multi development houses,Wicklow,Wicklow,123,81,147,1195
2005,One off houses,Carlow,Carlow,232,259,60,259
2005,One off houses,Cavan,Cavan,239,803,192,803
2005,One off houses,Clare,Clare,215,620,133,620
2005,One off houses,Cork,Cork,207,2173,450,2173
2005,One off houses,Donegal,Donegal,210,1873,394,1873
2005,One off houses,Dublin,Dublin,155,937,145,937
2005,One off houses,Galway,Galway,214,1730,370,1730
2005,One off houses,Kerry,Kerry,197,1253,247,1253
2005,One off houses,Kildare,Kildare,241,528,127,528
2005,One off houses,Kilkenny,Kilkenny,235,540,127,540
2005,One off houses,Laois,Laois,234,368,86,368
2005,One off houses,Leitrim,Leitrim,194,589,114,589
2005,One off houses,Limerick,Limerick,219,732,160,732
2005,One off houses,Longford,Longford,213,437,93,437
2005,One off houses,Louth,Louth,243,519,126,519
2005,One off houses,Mayo,Mayo,211,1245,263,1245
2005,One off houses,Meath,Meath,246,593,146,593
